Username,Problems_Solved,World_Rank,Solved_Classical_Count,Solved_Challenge_Count,Solved_Tutorial_Count,Solved_Partial_Count,Solved_Other_Count,Language,Level,Cluster
bhavish05,11,55833.0,15,0,0,0,0,1,beginner,1
bhbjzyh,65,2673.0,68,0,0,0,0,1,intermediate,1
biberdolik,7,15296.0,9,0,0,0,0,1,beginner,1
binario,27,15906.0,28,0,0,0,0,1,beginner,1
biryani70,14,43315.0,15,0,0,0,0,1,beginner,1
bishoy_effat30,1,127640.0,2,0,0,0,0,2,beginner,0
bkushal06,4,127640.0,5,0,0,0,0,1,beginner,0
black_third,24,7432.0,50,0,0,0,0,1,intermediate,1
blazinglyfast,1,127640.0,2,0,0,0,0,2,beginner,0
blueqwq,4,66594.0,6,0,0,0,0,1,beginner,1
bodlavaishnavi,8,127640.0,9,0,0,0,0,1,beginner,0
bombaclatic,30,2905.0,54,0,0,0,0,1,intermediate,1
borbollete,2,84359.0,3,0,0,0,0,1,beginner,0
bossixd,2,127640.0,2,0,0,0,0,1,beginner,0
botwizardr5u,79,446.0,468,0,0,0,0,1,advanced,1
boyofkutbilim,8,20761.0,12,0,0,0,0,1,beginner,1
bruh555,18,20761.0,27,0,0,0,0,1,beginner,1
bsurajpatra,5,127640.0,5,0,0,0,0,1,beginner,0
buibui84,140,559.0,178,0,0,0,0,1,advanced,1
bulluson,58,7029.0,65,0,0,0,0,1,intermediate,1
c20251760,12,43315.0,12,0,0,0,0,1,beginner,1
call_me_rizz,7,84359.0,9,0,0,0,0,1,beginner,0
caolam_bkno1,2,127640.0,3,0,0,0,0,1,beginner,0
catb0y,8,26112.0,9,0,0,0,0,2,beginner,1
cbdsopa,13,18827.0,14,0,0,0,0,1,beginner,1
cbw,61,5104.0,65,0,0,0,0,1,intermediate,1
cccsar,32,19794.0,42,0,0,0,0,1,beginner,1
cele2025,1,127640.0,1,0,0,0,0,1,beginner,0
celia_ygxz,70,551.0,177,0,0,0,0,1,advanced,1
cf_7,1,127640.0,4,0,0,0,0,1,beginner,0
